Travel_Route,Year,Year_text,Visitors_on_Holiday,Visitors_on_Business,Visitors_in_Transit,Other_Visitors,Quater,Results_Status,OBJECTID
Departures,03/31/2005 12:00:00 AM,2005,258900,50800,18000,40500,Q1,Actual,143
Departures,03/31/2006 12:00:00 AM,2006,285300,56700,29900,46200,Q1,Actual,144
Departures,03/31/2007 12:00:00 AM,2007,314200,65500,35400,58900,Q1,Actual,145
Departures,03/31/2008 12:00:00 AM,2008,210100,18900,10100,11900,Q1,Actual,146
Departures,03/31/2009 12:00:00 AM,2009*,258700,38000,22900,39400,Q1,Preliminary ,147
Departures,06/30/1991 12:00:00 AM,1991,111200,17900,11100,1200,Q2,Actual,148
Departures,06/30/1992 12:00:00 AM,1992,114600,21900,10900,1500,Q2,Actual,149
Departures,06/30/1993 12:00:00 AM,1993,118700,22700,11300,1500,Q2,Actual,150
Departures,06/30/1994 12:00:00 AM,1994,173500,33200,16500,2200,Q2,Actual,151
Departures,06/30/1995 12:00:00 AM,1995*,122600,23500,13900,1800,Q2,Preliminary ,152
Departures,06/30/1995 12:00:00 AM,1995,179400,22700,14300,4900,Q2,Actual,153
Departures,06/30/1996 12:00:00 AM,1996,183700,23200,12600,5000,Q2,Actual,154
Departures,06/30/1997 12:00:00 AM,1997,158800,20100,15300,4300,Q2,Actual,155
Departures,06/30/1998 12:00:00 AM,1998,152800,19300,17700,4200,Q2,Actual,156
Departures,06/30/1999 12:00:00 AM,1999*,165500,20900,23200,4500,Q2,Preliminary ,157
Departures,06/30/2000 12:00:00 AM,2000,165500,20900,33000,4600,Q2,Actual,158
Departures,06/30/2001 12:00:00 AM,2001,149600,18900,38500,4200,Q2,Actual,159
Departures,06/30/2002 12:00:00 AM,2002,158500,17100,42700,3800,Q2,Actual,160
Departures,06/30/2003 12:00:00 AM,2003,112500,44700,48200,18900,Q2,Actual,161
Departures,06/30/2004 12:00:00 AM,2004*,178500,49300,28800,20400,Q2,Preliminary ,162
Departures,06/30/2005 12:00:00 AM,2005,221900,43600,15500,34700,Q2,Actual,163
Departures,06/30/2006 12:00:00 AM,2006,232900,47900,18300,31400,Q2,Actual,164
